Afghanistan,2.85,2.77,2.48
Albania,6.08,5.91,5.86
Algeria,3.77,3.95,3.44
Angola,3.66,3.35,3.32
Argentina,6.95,7.02,6.84
Armenia,5.35,4,4.09
Australia,8.96,9.01,9.22
Austria,8.16,8.54,8.49
Azerbaijan*,2.68,2.71,3.15
Bahrain,2.49,2.79,3.49
Bangladesh,5.99,5.73,5.87
Belarus,2.59,3.62,3.34
Belgium,7.51,7.93,8.05
Benin,4.58,5.72,6.17
Bhutan,5.71,4.93,4.68
Bolivia,5.08,5.75,5.92
Bosnia and Herzegovina,4.84,4.83,5.32
Botswana,7.62,7.87,7.63
Brazil,6.92,6.96,7.12
Bulgaria,6.71,7.14,6.84
Burkina Faso,3.73,4.7,3.59
Burundi,2.14,2.49,4.01
Cabo Verde,7.65,7.81,7.94
Cambodia,3.1,4.27,4.87
Cameroon,2.77,3.66,3.41
Canada,9.24,9.08,9.08
Central African Republic,1.32,1.57,1.82
Chad,1.55,1.5,1.52
Chile,8.28,7.84,7.67
China,2.27,3.14,3.14
Colombia,7.04,6.62,6.55
Comoros,3.09,3.71,3.41
Congo,3.11,2.91,2.89
Costa Rica,8.16,7.96,8.04
Côte d'Ivoire,4.11,3.31,3.02
Croatia,6.5,6.93,6.81
Cuba,2.84,3.52,3.52
Cyprus,7.56,7.53,7.29
Czechia,7.67,7.94,8.19
Dem. People's Republic of Korea,1.08,1.08,1.08
Democratic Republic of the Congo,1.13,2.11,2.15
Denmark,9.15,9.11,9.52
Djibouti,2.71,2.9,2.2
Dominican Republic,6.32,6.67,6.2
Ecuador,6.13,5.87,5.77
Egypt,2.93,3.18,3.07
El Salvador,5.9,6.64,6.47
Equatorial Guinea,1.92,1.77,1.84
Eritrea,2.15,2.37,2.31
Estonia,7.84,7.85,7.68
Eswatini,3.08,3.09,2.9
Ethiopia,3.38,3.83,3.68
Fiji,5.72,5.69,3.62
Finland,9.2,9.03,9.19
France,7.99,7.92,7.77
Gabon,3.54,3.76,3.29
Gambia,4.49,2.97,3.38
Georgia,5.31,5.88,4.59
Germany,8.67,8.64,8.38
Ghana,6.5,6.86,6.02
Greece,7.39,7.45,7.92
Guatemala,4.97,5.92,6.05
Guinea,3.08,3.14,2.79
Guinea-Bissau,2.63,1.93,1.99
Guyana,6.01,6.05,6.05
Haiti,4.22,3.94,4
Honduras,5.36,5.84,5.76
Hong Kong,5.57,6.5,5.92
Hungary,6.56,6.84,7.21
Iceland,9.37,9.58,9.65
India,6.61,7.74,7.28
Indonesia,6.3,7.03,6.53
Iran,2.2,2.16,1.94
Iraq,3.62,4.08,4
Ireland,9.05,8.85,8.79
Israel,7.84,7.77,7.48
Italy,7.74,7.98,7.83
Jamaica,7.13,7.39,7.21
Japan,8.13,7.96,8.08
Jordan,3.62,3.86,3.74
Kazakhstan,3.14,3.06,3.3
Kenya,5.05,5.33,4.71
Kuwait,3.8,3.85,3.88
Kyrgyzstan,4.21,5.33,4.31
Lao People's Democratic Republic,1.77,2.21,2.1
Latvia,7.24,7.37,7.05
Lebanon,4.16,4.86,5.82
Lesotho,6.3,6.59,6.02
Liberia,5.32,4.95,5.07
Libya,1.95,2.25,1.94
Lithuania,7.13,7.54,7.24
Luxembourg,8.68,8.88,8.88
Madagascar,5.7,4.85,3.94
Malawi,5.74,5.55,5.84
Malaysia,7.19,6.43,6.19
