{'name': 'Spain*', 'dem_index': 8.12}: 0.163603182802081
{'name': 'Venezuela (Bolivarian Republic of)', 'dem_index': 2.76}: 0.15475505096257533
{'name': 'Germany', 'dem_index': 8.67}: 0.12186260932923469
{'name': 'United Kingdom*', 'dem_index': 8.54}: 0.12056810399620162
{'name': 'Dominican Republic', 'dem_index': 6.32}: 0.11606461190601429
{'name': 'Puerto Rico*', 'dem_index': -1}: 0.11464302110881214
{'name': 'Mali', 'dem_index': 3.93}: 0.10744324645064854
{'name': 'Portugal', 'dem_index': 7.9}: 0.1029469808841558
{'name': 'United States Virgin Islands*', 'dem_index': -1}: 0.0921114185174525
{'name': 'France*', 'dem_index': 7.99}: 0.08435460060439585
{'name': 'Andorra', 'dem_index': -1}: 0.06508038024717616
{'name': 'Congo', 'dem_index': 3.11}: 0.059542648331085024
{'name': 'State of Palestine*', 'dem_index': 3.83}: 0.05868080566615901
{'name': 'Russian Federation', 'dem_index': 3.31}: 0.05348766294648205
{'name': 'Greece', 'dem_index': 7.39}: 0.041267675805796836
{'name': 'Israel', 'dem_index': 7.84}: 0.04086777037526882
{'name': 'Democratic Republic of the Congo', 'dem_index': 1.13}: 0.03928346927679907
{'name': 'Libya', 'dem_index': 1.95}: 0.03739700799839144
{'name': 'Romania', 'dem_index': 6.4}: 0.033240123905067996
{'name': 'Grenada', 'dem_index': -1}: 0.030820658909972667
{'name': "Côte d'Ivoire", 'dem_index': -1}: 0.02997567941186681
{'name': 'Italy', 'dem_index': 7.74}: 0.028679760500746304
{'name': 'Bangladesh', 'dem_index': 5.99}: 0.027527762581981446
{'name': 'Guinea', 'dem_index': 3.08}: 0.027472814320041183
{'name': 'Poland', 'dem_index': 6.85}: 0.026816196642514594
{'name': 'Guam*', 'dem_index': -1}: 0.026073444346188593
{'name': 'Norway*', 'dem_index': 9.81}: 0.025498526325059213
{'name': 'Antigua and Barbuda', 'dem_index': -1}: 0.023923209567613415
{'name': 'Albania', 'dem_index': 6.08}: 0.02355809014915262
{'name': 'Switzerland', 'dem_index': 8.83}: 0.023046032999571666
{'name': 'Panama', 'dem_index': 7.18}: 0.022618425635667013
{'name': 'South Sudan', 'dem_index': -1}: 0.02075343526368794
{'name': 'North Macedonia', 'dem_index': 5.89}: 0.020431814417181938
{'name': 'Ukraine*', 'dem_index': 5.81}: 0.020368269122509552
