name,lat,lon,2020pop,2015pop,2010pop,2000pop,1990pop
Afghanistan,33.93911,67.709953,38972230,33753499,28189672,19542982,10694796
Albania,41.153332,20.168331,2866849,2882481,2913399,3182021,3295066
Algeria,28.033886,1.659626,43451666,39543154,35856344,30774621,25518074
American Samoa,-14.270972,-170.132217,46189,51368,54849,58230,47818
Andorra,42.546245,1.601554,77700,71746,71519,66097,53569
Angola,-11.202692,17.873887,33428485,28127721,23364185,16394062,11828638
Anguilla,18.220554,-63.068615,15585,14525,13172,11047,8316
Antigua and Barbuda,17.060816,-61.796428,92664,89941,85695,75055,63328
Argentina,-38.416097,-63.616672,45036032,43257065,41100123,37070774,32637657
Armenia,40.069099,45.038189,2805608,2878595,2946293,3168523,3556539
Aruba,12.52111,-69.968338,106585,104257,100341,89101,65712
Australia,-25.274398,133.775136,25670051,23820236,22019168,19017963,17048003
Austria,47.516231,14.550072,8907777,8642421,8362829,8010428,7678729
Azerbaijan,40.143105,47.576927,10284951,9863480,9237202,8190337,7427836
Bahamas,25.03428,-77.39628,406471,392697,373272,325014,270679
Bahrain,25.930414,50.637772,1477469,1362142,1213645,711442,517418
Bangladesh,23.684994,90.356331,167420951,157830000,148391139,129193327,107147651
Barbados,13.193887,-59.543198,280693,278083,274711,264657,258868
Belarus,53.709807,27.953389,9633740,9700609,9731427,10256483,10428525
Belgium,50.503887,4.469936,11561717,11248303,10877947,10264343,9959560
Belize,17.189877,-88.49765,394921,359871,322106,240406,182589
Benin,9.30769,2.315834,12643123,10932783,9445710,6998023,5133419
Bermuda,32.321384,-64.75737,64031,63144,63447,61371,57470
Bhutan,27.514162,90.433601,772506,743274,705516,587207,558442
Bolivia,-16.290154,-63.588653,11936162,11090085,10223270,8592656,7096194
Bosnia and Herzegovina,43.915886,17.679076,3318407,3524324,3811088,4179350,4494310
Botswana,-22.328474,24.684866,2546402,2305171,2091664,1726985,1341474
Brazil,-14.235004,-51.92528,213196304,205188205,196353492,175873720,150706446
British Virgin Islands,18.420695,-64.639968,30910,29366,27556,20104,15617
Brunei Darussalam,4.535277,114.727669,441725,421437,396053,333926,261928
Bulgaria,42.733883,25.48583,6979175,7309253,7592273,8097691,8767778
Burkina Faso,12.238333,-1.561593,21522626,18718019,16116845,11882888,9131361
Burundi,-3.373056,29.918886,12220227,10727148,9126605,6307659,5483793
Cabo Verde,16.002082,-24.013197,582640,552166,521212,458251,364563
Cambodia,12.565679,104.990963,16396860,15417523,14363532,12118841,8910808
Cameroon,7.369722,12.354722,26491087,23012646,19878036,15091594,11430520
Canada,56.130366,-106.346771,37888705,35732126,33963412,30683313,27657204
Cayman Islands,19.513469,-80.566956,67311,60911,54074,39658,26027
Central African Republic,6.611111,20.939444,5343020,4819333,4660067,3759170,2809221
Chad,15.454166,18.732207,16644701,14140274,11894727,8259137,5827069
