Albanian, Indo-European
Amharic, Afro-Asiatic
Arabic, Afro-Asiatic
Armenian, Indo-European
Azerbaijani, Turkic
Bangala, Indo-European
Bosnian, Indo-European
Bulgarian, Indo-European
Burmese, Sino-Tibetan
Carolinian, Austronesian
Cantonese, Sino-Tibetan
Castilian, Indo-European
Catalan, Indo-European 
Creole, Creole
Croatian, Indo-European
Czechi, Indo-European
Danish,  Indo-European
Dari, Indo-European
Dhivehi, Indo-European
Dutch, Indo-European
Dzongkha, Sino-Tibetan
English, Indo-European
Estonian, Uralic
Faroese, Indo-European
Filipino, Austronesian
Finnish, Uralic
French, Indo-European
German, Indo-European
Greek, Indo-European
Greenlandic, Eskimo-Aleut
Guarani, Tupian
Hebrew, Afro-Asiatic 
Hindi, Indo-European 
Hungarian, Uralic
Icelandic, Indo-European
Indonesian, Austronesian
Italian, Indo-European
Japanese, Japonic 
Khmer, Austro-Asiatic
Kinyarwanda, Niger-Congo
Kiswahili, Niger-Congo
Korean, Koreanic
Kyrgyz, Turkic 
Lao, Kra-Dai 
Latvian, Indo-European
Lithuanian, Indo-European
Makhuwa, Niger-Congo
Malagasy, Austronesian
Maltese, Afro-Asiatic
Malay, Austronesian
Marshallese, Austronesian
Mandarin, Sino-Tibetan
Mongolian, Altaic
Montenegrin, Indo-European
Montserrat, Creole
Moore, Niger-Congo
Nauruan, Austronesian
Nepali, Indo-European
Niue, Austronesian 
Norwegian, Indo-European
Palauan, Austronesian
Papiamento, Creole
Pashto, Indo-European
Persian, Indo-European
Polish, Indo-European
Portuguese, Indo-European
Punjabi, Indo-European
Qazaq, Turkic
Romanian, Indo-European
Russian, Indo-European
Samoan, Austronesian
Serbian, Indo-European
Setswana, Niger-Congo
Sharchopkha, Sino-Tibetan
Shona, Niger-Congo
Sinhala, Indo-European
Slovene, Indo-European
Somali, Afro-Asiatic
Spanish, Indo-European
Swati, Niger-Congo 
Swahili, Niger-Congo
Swedish, Indo-European
Tagalog, Austronesian 
Tajik, Indo-European
Tetun, Austronesian
Thai, Kra-Dai 
Tok Pisin, Creole
Tongan, Austronesian
Turkish, Turkic
Turkmen, Turkic
Ukranian, Indo-European
Uzbek, Turkic
Vietnamese, Austro-Asiatic
Zulu, Niger-Congo
