Colonizer,Colony,Latitude_Colony,Longitude_Colony,Latitude_Colonizer,Longitude_Colonizer,Language_Colony,Family_Colony,Language_Colonizer,Family_Colonizer
United Kingdom*,Indonesia,-0.789275,113.921327,55.378051,-3.435973,indonesian, Austronesian,english, Indo-European
United Kingdom*,Senegal,14.497401,-14.452362,55.378051,-3.435973,french, Indo-European,english, Indo-European
United Kingdom*,Yemen,15.552727,48.516388,55.378051,-3.435973,arabic, Afro-Asiatic,english, Indo-European
United Kingdom*,Afghanistan,33.93911,67.709953,55.378051,-3.435973,dari, Indo-European,english, Indo-European
United Kingdom*,Afghanistan,33.93911,67.709953,55.378051,-3.435973,pashto, Indo-European,english, Indo-European
United Kingdom*,Jamaica,18.109581,-77.297508,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Nicaragua,12.865416,-85.207229,55.378051,-3.435973,spanish, Indo-European,english, Indo-European
United Kingdom*,Canada,56.130366,-106.346771,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Canada,56.130366,-106.346771,55.378051,-3.435973,french, Indo-European,english, Indo-European
United Kingdom*,Sudan,12.862807,30.217636,55.378051,-3.435973,arabic, Afro-Asiatic,english, Indo-European
United Kingdom*,Sudan,12.862807,30.217636,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Ghana,7.946527,-1.023194,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Bahamas,25.03428,-77.39628,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Lesotho,-29.609988,28.233608,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Lesotho,-29.609988,28.233608,55.378051,-3.435973,zulu, Niger-Congo,english, Indo-European
United Kingdom*,Kenya,-0.023559,37.906193,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Kenya,-0.023559,37.906193,55.378051,-3.435973,kiswahili, Niger-Congo,english, Indo-European
United Kingdom*,Guyana,4.860416,-58.93018,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Belize,17.189877,-88.49765,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Belize,17.189877,-88.49765,55.378051,-3.435973,spanish, Indo-European,english, Indo-European
United Kingdom*,Dominican Republic,18.735693,-70.162651,55.378051,-3.435973,spanish, Indo-European,english, Indo-European
United Kingdom*,Saint Kitts and Nevis,17.357822,-62.782998,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Somalia,5.152149,46.199616,55.378051,-3.435973,somali, Afro-Asiatic,english, Indo-European
United Kingdom*,Solomon Islands,-9.64571,160.156194,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Fiji,-16.578193,179.414413,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Kiribati,-3.370417,-168.734039,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Vanuatu,-15.376706,166.959158,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Tonga,-21.178986,-175.198242,55.378051,-3.435973,tongan, Austronesian,english, Indo-European
United Kingdom*,Barbados,13.193887,-59.543198,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Grenada,12.262776,-61.604171,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Saint Lucia,13.909444,-60.978893,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Saint Vincent and the Grenadines,12.984305,-61.287228,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Cameroon,7.369722,12.354722,55.378051,-3.435973,french, Indo-European,english, Indo-European
United Kingdom*,Cameroon,7.369722,12.354722,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Sri Lanka,7.873054,80.771797,55.378051,-3.435973,sinhala, Indo-European,english, Indo-European
United Kingdom*,Egypt,26.820553,30.802498,55.378051,-3.435973,arabic, Afro-Asiatic,english, Indo-European
United Kingdom*,Egypt,26.820553,30.802498,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Equatorial Guinea,1.650801,10.267895,55.378051,-3.435973,spanish, Indo-European,english, Indo-European
United Kingdom*,Falkland Islands (Malvinas)*,-51.796253,-59.523613,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,Gambia,13.443182,-15.310139,55.378051,-3.435973,english, Indo-European,english, Indo-European
United Kingdom*,India,20.593684,78.96288,55.378051,-3.435973,hindi, Indo-European ,english, Indo-European
United Kingdom*,Myanmar,21.913965,95.956223,55.378051,-3.435973,burmese, Sino-Tibetan,english, Indo-European
United Kingdom*,Pakistan,30.375321,69.345116,55.378051,-3.435973,punjabi, Indo-European,english, Indo-European
United Kingdom*,Greece,39.074208,21.824312,55.378051,-3.435973,greek, Indo-European,english, Indo-European
United Kingdom*,Ireland,53.41291,-8.24389,55.378051,-3.435973,english, Indo-European,english, Indo-European
